# HSK 2012 vocabulary list, levels 1-6
#
# Downloaded from: http://hskhsk.pythonanywhere.com/hskwords
# Accessed on 2014-01-12
#
# Column header:
# Word, Level
的,1
我,1
你,1
是,1
了,1
不,1
在,1
他,1
我们,1
好,1
有,1
这,1
会,1
吗,1
什么,1
说,1
她,1
想,1
一,1
很,1
人,1
那,1
来,1
都,1
个,1
能,1
去,1
和,1
做,1
上,1
没有,1
看,1
怎么,1
现在,1
点,1
呢,1
太,1
里,1
听,1
谁,1
多,1
时候,1
下,1
谢谢,1
先生,1
喜欢,1
大,1
东西,1
小,1
叫,1
爱,1
年,1
请,1
回,1
工作,1
钱,1
吃,1
开,1
家,1
哪,1
朋友,1
妈妈,1
今天,1
几,1
爸爸,1
些,1
怎么样,1
对不起,1
住,1
三,1
高兴,1
买,1
医生,1
哪儿,1
名字,1
认识,1
坐,1
喝,1
写,1
月,1
号,1
狗,1
岁,1
看见,1
打电话,1
喂,1
儿子,1
漂亮,1
分钟,1
再见,1
本,1
明天,1
多少,1
块,1
女儿,1
小姐,1
衣服,1
水,1
学校,1
电影,1
书,1
四,1
五,1
医院,1
少,1
没关系,1
飞机,1
二,1
电视,1
读,1
后面,1
昨天,1
睡觉,1
六,1
老师,1
星期,1
十,1
猫,1
电脑,1
热,1
学生,1
下午,1
字,1
学习,1
冷,1
前面,1
八,1
中国,1
七,1
菜,1
桌子,1
出租车,1
天气,1
茶,1
九,1
商店,1
椅子,1
同学,1
一点儿,1
苹果,1
饭店,1
中午,1
上午,1
水果,1
杯子,1
下雨,1
米饭,1
北京,1
汉语,1
不客气,1
就,2
要,2
知道,2
吧,2
到,2
对,2
也,2
还,2
让,2
给,2
过,2
得,2
真,2
着,2
可以,2
别,2
走,2
告诉,2
因为,2
再,2
快,2
但是,2
已经,2
为什么,2
觉得,2
它,2
从,2
找,2
最,2
可能,2
次,2
出,2
孩子,2
所以,2
两,2
错,2
等,2
问题,2
一起,2
开始,2
时间,2
事情,2
一下,2
非常,2
希望,2
准备,2
比,2
问,2
件,2
意思,2
第一,2
进,2
大家,2
新,2
您,2
穿,2
送,2
玩,2
长,2
小时,2
完,2
每,2
公司,2
帮助,2
晚上,2
说话,2
门,2
女,2
忙,2
卖,2
高,2
房间,2
路,2
懂,2
正在,2
笑,2
远,2
妻子,2
丈夫,2
离,2
往,2
男,2
眼睛,2
快乐,2
虽然,2
早上,2
药,2
身体,2
黑,2
咖啡,2
日,2
休息,2
外,2
生日,2
哥哥,2
票,2
手机,2
洗,2
跳舞,2
弟弟,2
妹妹,2
红,2
慢,2
近,2
白,2
姐姐,2
介绍,2
鱼,2
累,2
课,2
上班,2
旁边,2
运动,2
去年,2
报纸,2
颜色,2
机场,2
唱歌,2
千,2
好吃,2
考试,2
左边,2
姓,2
百,2
雪,2
贵,2
生病,2
游泳,2
牛奶,2
右边,2
便宜,2
起床,2
鸡蛋,2
题,2
零,2
手表,2
旅游,2
服务员,2
宾馆,2
教室,2
跑步,2
阴,2
面条,2
铅笔,2
火车站,2
西瓜,2
羊肉,2
晴,2
公共汽车,2
打篮球,2
踢足球,2
啊,3
还,3
把,3
过,3
如果,3
只,3
被,3
跟,3
自己,3
用,3
像,3
为,3
需要,3
应该,3
起来,3
才,3
又,3
拿,3
更,3
带,3
然后,3
一样,3
当然,3
相信,3
认为,3
明白,3
一直,3
地方,3
离开,3
一定,3
还是,3
发现,3
而且,3
必须,3
放,3
为了,3
地,3
向,3
老,3
位,3
先,3
种,3
最后,3
其他,3
记得,3
