# TOCFL vocabulary list, levels 1-5
# Published on 2013-04-30
#
# Downloaded from: http://www.sc-top.org.tw/english/download.php
# Direct download link: http://www.sc-top.org.tw/download/8000zhuyin.rar
# Accessed on 2014-01-12
#
# Part of speech key (詞類標記表):
# Adv: Adverb, 副詞
# Conj: Conjunction, 連接詞
# Det: Determiner (依據平衡語料庫), 限定詞
# M: Measure, 量詞
# N: Noun, 名詞
# P: Particle, 助詞
# Post: Postposition (依據平衡語料庫), 後置詞
# Prep: Preposition, 介詞
# VA: Action verb, 動作動詞
# VS: State verb, 狀態動詞
#
# Column header:
# Word, Level, Part of speech, Category
名字,1,N,個人資料
姓,1,N/VA,個人資料
姓名,1,N,個人資料
生日,1,N,個人資料
來,1,P/Adv/N/VA,個人資料
公園,1,N,個人資料
住,1,VA,個人資料
國家,1,N,個人資料
中國,1,N,個人資料
台灣,1,N,個人資料
美國,1,N,個人資料
日本,1,N,個人資料
人,1,N,個人資料
城市,1,N,個人資料
街,1,N,個人資料
路,1,N,個人資料
號,1,M/VA,個人資料
號碼,1,N,個人資料
電話,1,N,個人資料
手機,1,N,個人資料
打電話,1,VA,個人資料
電子郵件,1,N,個人資料
結婚,1,VA,個人資料
年,1,M/N,個人資料
去年,1,N,個人資料
明年,1,N,個人資料
今年,1,N,個人資料
月,1,N,個人資料
日,1,N,個人資料
時候,1,N,個人資料
小時,1,N,個人資料
點,1,Adv/VA/M/N,個人資料
點鐘,1,M,個人資料
分,1,M/VA,個人資料
分鐘,1,N,個人資料
早上,1,N,個人資料
上午,1,N,個人資料
中午,1,N,個人資料
下午,1,N,個人資料
晚上,1,N,個人資料
星期,1,N,個人資料
星期天,1,N,個人資料
星期日,1,N,個人資料
週末,1,N,個人資料
周末,1,N,個人資料
天,1,M/N,個人資料
昨天,1,N,個人資料
今天,1,N,個人資料
明天,1,N,個人資料
現在,1,N,個人資料
夏天,1,N,個人資料
冬天,1,N,個人資料
秋天,1,N,個人資料
春天,1,N,個人資料
大家,1,N,個人資料
歲,1,M,個人資料
年輕,1,VS,個人資料
老,1,Adv/VS,個人資料
男,1,N,個人資料
男生,1,N,個人資料
女,1,N,個人資料
女生,1,N,個人資料
先生,1,N,個人資料
太太,1,N,個人資料
小姐,1,N,個人資料
小孩,1,N,個人資料
家,1,M/N,個人資料
家人,1,N,個人資料
爸爸,1,N,個人資料
媽媽,1,N,個人資料
孩子,1,N,個人資料
兒子,1,N,個人資料
女兒,1,N,個人資料
弟弟,1,N,個人資料
哥哥,1,N,個人資料
妹妹,1,N,個人資料
姊姊,1,N,個人資料
姐姐,1,N,個人資料
好,1,Adv/VS/Conj,個人資料
真,1,Adv/VS,個人資料
很,1,Adv,個人資料
太,1,Adv,個人資料
非常,1,Adv,個人資料
笑,1,VA,個人資料
高興,1,VS,個人資料
快樂,1,VS,個人資料
緊張,1,VS,個人資料
愛,1,VS/N,個人資料
喜歡,1,VS,個人資料
覺得,1,VS,個人資料
漂亮,1,VS,個人資料
好看,1,VS,個人資料
可愛,1,VS,個人資料
胖,1,VS,個人資料
高,1,VS,個人資料
矮,1,VS,個人資料
瘦,1,VS,個人資料
第,1,Det,個人資料
零,1,Det,個人資料
一,1,Det,個人資料
二,1,Det,個人資料
兩,1,Det,個人資料
三,1,Det,個人資料
四,1,Det,個人資料
五,1,Det,個人資料
六,1,Det,個人資料
七,1,Det,個人資料
八,1,Det,個人資料
九,1,Det,個人資料
十,1,Det,個人資料
百,1,Det,個人資料
千,1,Det,個人資料
萬,1,Det,個人資料
半,1,Det,個人資料
個,1,P/M,個人資料
我,1,N,個人資料
你,1,N,個人資料
妳,1,N,個人資料
您,1,N,個人資料
他,1,N,個人資料
她,1,N,個人資料
我們,1,N,個人資料
你們,1,N,個人資料
妳們,1,N,個人資料
他們,1,N,個人資料
她們,1,N,個人資料
在,1,Adv/Prep/VA,個人資料
從,1,Adv/Prep,個人資料
是,1,,個人資料
的,1,P,個人資料
誰,1,N,個人資料
醫院,1,N,工作
辦公室,1,N,工作
工廠,1,N,工作
工人,1,N,工作
老師,1,N,工作
醫生,1,N,工作
護士,1,N,工作
司機,1,N,工作
老闆,1,N,工作
老板,1,N,工作
同事,1,N,工作
公司,1,N,工作
買,1,VA,工作
賣,1,VA,工作
電腦,1,N,工作
工作,1,VA/N,工作
上班,1,VA,工作
準備,1,N/VA,工作
忙,1,VS,工作
學校,1,N,教育
小學,1,N,教育
中學,1,N,教育
大學,1,N,教育
年級,1,N,教育
學生,1,N,教育
上學,1,VA,教育
上課,1,VA,教育
下課,1,VS,教育
作業,1,N,教育
功課,1,N,教育
請假,1,VA,教育
考試,1,N/VA,教育
圖書館,1,N,教育
教室,1,N,教育
洗手間,1,N,教育
廁所,1,N,教育
餐廳,1,N,教育
飯館,1,N,教育
歷史,1,N,教育
數學,1,N,教育
語言,1,N,教育
科學,1,VS/N,教育
英文,1,N,教育
華語,1,N,教育
華文,1,N,教育
黑板,1,N,教育
筆,1,M/N,教育
紙,1,N,教育
課本,1,N,教育
本,1,Adv/M/Det,教育
字,1,N,教育
句子,1,N,教育
注意,1,VS,教育
寫,1,VA,教育
聽,1,VA,教育
讀,1,VA,教育
讀書,1,VA,教育
說,1,VA,教育
說話,1,VA,教育
學,1,VA,教育
學習,1,VA,教育
練習,1,N/VA,教育
問,1,VA,教育
問題,1,N,教育
為什麼,1,Adv,教育
回答,1,N/VA,教育
參加,1,VA,教育
知道,1,VS,教育
懂,1,VS,教育
能,1,Adv/VS,教育
會,1,VS/N,教育
可以,1,Adv/VS,教育
休息,1,VA,教育
有趣,1,VS,教育
決定,1,VA/N,教育
