# Modern Chinese Commonly-used Character List (3500 characters)
# 《现代汉语常用字表》
# Published on 1988-01-26
#
# Downloaded from: http://www.china-language.gov.cn/wenziguifan/shanghi/013.htm
# Accessed on 2013-04-22
#
# Level key:
# 1: 常用字(2500字)
# 2: 次常用字(1000字)
# 
# Column header:
# Character,Level,Strokes
一,1,1
乙,1,1
二,1,2
十,1,2
丁,1,2
厂,1,2
七,1,2
卜,1,2
人,1,2
入,1,2
八,1,2
九,1,2
几,1,2
儿,1,2
了,1,2
力,1,2
乃,1,2
刀,1,2
又,1,2
三,1,3
于,1,3
干,1,3
亏,1,3
士,1,3
工,1,3
土,1,3
才,1,3
寸,1,3
下,1,3
大,1,3
丈,1,3
与,1,3
万,1,3
上,1,3
小,1,3
口,1,3
巾,1,3
山,1,3
千,1,3
乞,1,3
川,1,3
亿,1,3
个,1,3
勺,1,3
久,1,3
凡,1,3
及,1,3
夕,1,3
丸,1,3
么,1,3
广,1,3
亡,1,3
门,1,3
义,1,3
之,1,3
尸,1,3
弓,1,3
己,1,3
已,1,3
子,1,3
卫,1,3
也,1,3
女,1,3
飞,1,3
刃,1,3
习,1,3
叉,1,3
马,1,3
乡,1,3
丰,1,4
王,1,4
井,1,4
开,1,4
夫,1,4
天,1,4
无,1,4
元,1,4
专,1,4
云,1,4
扎,1,4
艺,1,4
木,1,4
五,1,4
支,1,4
厅,1,4
不,1,4
太,1,4
犬,1,4
区,1,4
历,1,4
尤,1,4
友,1,4
匹,1,4
车,1,4
巨,1,4
牙,1,4
屯,1,4
比,1,4
互,1,4
切,1,4
瓦,1,4
止,1,4
少,1,4
日,1,4
中,1,4
冈,1,4
贝,1,4
内,1,4
水,1,4
见,1,4
午,1,4
牛,1,4
手,1,4
毛,1,4
气,1,4
升,1,4
长,1,4
仁,1,4
什,1,4
片,1,4
仆,1,4
化,1,4
仇,1,4
币,1,4
仍,1,4
仅,1,4
斤,1,4
爪,1,4
反,1,4
介,1,4
父,1,4
从,1,4
今,1,4
凶,1,4
分,1,4
乏,1,4
公,1,4
仓,1,4
月,1,4
氏,1,4
勿,1,4
欠,1,4
风,1,4
丹,1,4
匀,1,4
乌,1,4
凤,1,4
勾,1,4
文,1,4
六,1,4
方,1,4
火,1,4
为,1,4
斗,1,4
忆,1,4
订,1,4
计,1,4
户,1,4
认,1,4
心,1,4
尺,1,4
引,1,4
丑,1,4
巴,1,4
孔,1,4
队,1,4
办,1,4
以,1,4
允,1,4
予,1,4
劝,1,4
双,1,4
书,1,4
幻,1,4
玉,1,5
刊,1,5
示,1,5
末,1,5
未,1,5
击,1,5
打,1,5
巧,1,5
正,1,5
扑,1,5
扒,1,5
功,1,5
扔,1,5
去,1,5
甘,1,5
世,1,5
古,1,5
节,1,5
本,1,5
术,1,5
可,1,5
丙,1,5
左,1,5
厉,1,5
右,1,5
石,1,5
布,1,5
龙,1,5
平,1,5
灭,1,5
轧,1,5
东,1,5
卡,1,5
北,1,5
占,1,5
业,1,5
旧,1,5
帅,1,5
归,1,5
且,1,5
旦,1,5
目,1,5
叶,1,5
甲,1,5
申,1,5
叮,1,5
电,1,5
号,1,5
田,1,5
由,1,5
史,1,5
只,1,5
央,1,5
兄,1,5
叼,1,5
叫,1,5
另,1,5
